-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| g                                                                                                                                                     | type                                              |
| <http://www.easytobook.com/en/france/loire-atlantique/nantes/residence-stud-inn-11612/>                                                               | <http://www.w3.org/2006/vcard/ns#Name>            |
| <http://www.easytobook.com/en/france/loire-atlantique/nantes/residence-stud-inn-11612/>                                                               | <http://www.w3.org/2006/vcard/ns#VCard>           |
| <http://www.easytobook.com/en/france/loire-atlantique/nantes/residence-stud-inn-11612/>                                                               | <http://www.w3.org/2006/vcard/ns#Organization>    |
| <http://www.easytobook.com/en/france/loire-atlantique/nantes/residence-stud-inn-11612/>                                                               | <http://www.w3.org/2006/vcard/ns#Location>        |
| <http://www.qivivo.com/qivivo-thermostat>                                                                                                             | <http://schema.org/LocalBusiness>                 |
| <http://www.qivivo.com/qivivo-thermostat>                                                                                                             | <http://www.w3.org/2006/vcard/ns#VCard>           |
| <http://www.qivivo.com/qivivo-thermostat>                                                                                                             | <http://www.w3.org/2006/vcard/ns#Address>         |
| <http://www.qivivo.com/qivivo-thermostat>                                                                                                             | <http://schema.org/PostalAddress>                 |
| <http://www.qivivo.com/qivivo-thermostat>                                                                                                             | <http://www.w3.org/2006/vcard/ns#Name>            |
| <http://www.ticketnetwork.com/tickets/paris-saint-germain-fc-tickets.aspx?pid=47479>                                                                  | <http://www.w3.org/2002/12/cal/icaltzd#Vevent>    |
| <http://www.ticketnetwork.com/tickets/paris-saint-germain-fc-tickets.aspx?pid=47479>                                                                  | <http://www.w3.org/2006/vcard/ns#VCard>           |
| <http://www.ticketnetwork.com/tickets/paris-saint-germain-fc-tickets.aspx?pid=47479>                                                                  | <http://www.w3.org/2006/vcard/ns#Address>         |
| <http://www.ticketnetwork.com/tickets/paris-saint-germain-fc-tickets.aspx?pid=47479>                                                                  | <http://www.w3.org/2006/vcard/ns#Organization>    |
| <http://www.ticketnetwork.com/tickets/paris-saint-germain-fc-tickets.aspx?pid=47479>                                                                  | <http://www.w3.org/2006/vcard/ns#Name>            |
| <http://www.ticketnetwork.com/tickets/paris-saint-germain-fc-tickets.aspx?pid=47479>                                                                  | <http://www.w3.org/2002/12/cal/icaltzd#vcalendar> |
| <http://therapeutes.eu/categorie/dr-julien-betbeze/1430>                                                                                              | <http://www.w3.org/2006/vcard/ns#VCard>           |
| <http://therapeutes.eu/categorie/dr-julien-betbeze/1430>                                                                                              | <http://www.w3.org/2006/vcard/ns#Name>            |
| <http://therapeutes.eu/categorie/dr-julien-betbeze/1430>                                                                                              | <http://www.w3.org/2006/vcard/ns#Location>        |
| <http://therapeutes.eu/categorie/dr-julien-betbeze/1430>                                                                                              | <http://www.w3.org/2006/vcard/ns#Address>         |
| <http://fr.nomao.com/41531528.html>                                                                                                                   | <http://schema.org/ListItem>                      |
| <http://fr.nomao.com/41531528.html>                                                                                                                   | <http://schema.org/BreadcrumbList>                |
| <http://fr.nomao.com/41531528.html>                                                                                                                   | <http://www.w3.org/2006/vcard/ns#Address>         |
| <http://fr.nomao.com/41531528.html>                                                                                                                   | <http://schema.org/PostalAddress>                 |
| <http://fr.nomao.com/41531528.html>                                                                                                                   | <http://schema.org/LocalBusiness>                 |
| <http://www.slideshare.net/alexlolone>                                                                                                                | <http://www.w3.org/2006/vcard/ns#Name>            |
| <http://www.slideshare.net/alexlolone>                                                                                                                | <http://www.w3.org/2006/vcard/ns#VCard>           |
| <http://www.slideshare.net/alexlolone>                                                                                                                | <http://www.w3.org/2006/vcard/ns#Address>         |
| <http://kevin-p.cv.fm/fr/>                                                                                                                            | <http://www.w3.org/2002/12/cal/icaltzd#vcalendar> |
| <http://kevin-p.cv.fm/fr/>                                                                                                                            | <http://www.w3.org/2002/12/cal/icaltzd#Vevent>    |
| <http://kevin-p.cv.fm/fr/>                                                                                                                            | <http://www.w3.org/2006/vcard/ns#Name>            |
| <http://kevin-p.cv.fm/fr/>                                                                                                                            | <http://www.w3.org/2006/vcard/ns#Address>         |
| <http://kevin-p.cv.fm/fr/>                                                                                                                            | <http://www.w3.org/2006/vcard/ns#VCard>           |
| <http://www.slideshare.net/lionelcavallo>                                                                                                             | <http://schema.org/Person>                        |
| <http://www.slideshare.net/lionelcavallo>                                                                                                             | <http://www.w3.org/2006/vcard/ns#VCard>           |
| <http://www.slideshare.net/lionelcavallo>                                                                                                             | <http://schema.org/PostalAddress>                 |
| <http://www.slideshare.net/lionelcavallo>                                                                                                             | <http://www.w3.org/2006/vcard/ns#Name>            |
| <http://www.slideshare.net/lionelcavallo>                                                                                                             | <http://www.w3.org/2006/vcard/ns#Address>         |
| <https://www.annuairetel247.com/auneau-michel-saint-sebastien-sur-loire-rue-douet>                                                                    | <http://www.w3.org/2006/vcard/ns#Address>         |
| <http://www.acquia.com/partners/showcase/smile>                                                                                                       | <http://www.w3.org/1999/xhtml>                    |
| <http://www.acquia.com/partners/showcase/smile>                                                                                                       | <http://rdfs.org/sioc/ns#Item>                    |
| <http://www.acquia.com/partners/showcase/smile>                                                                                                       | foaf:Document                                     |
| <http://www.acquia.com/partners/showcase/smile>                                                                                                       | foaf:Image                                        |
| <http://www.acquia.com/partners/showcase/smile>                                                                                                       | <http://www.w3.org/2006/vcard/ns#Name>            |
| <http://www.acquia.com/partners/showcase/smile>                                                                                                       | <http://www.w3.org/2006/vcard/ns#Address>         |
| <http://www.acquia.com/partners/showcase/smile>                                                                                                       | <http://www.w3.org/2006/vcard/ns#VCard>           |
| <http://www.labelsandlabeling.com/suppliers/m?tid_op=or&tid=113&title_1=&field_country_value=or&country=All&keys=>                                    | <http://www.w3.org/2006/vcard/ns#Address>         |
| <http://hypnose-ericksonienne.fr/categorie/traitement-hypnose/565>                                                                                    | <http://www.w3.org/2006/vcard/ns#VCard>           |
| <http://hypnose-ericksonienne.fr/categorie/traitement-hypnose/565>                                                                                    | <http://www.w3.org/2006/vcard/ns#Address>         |
| <http://hypnose-ericksonienne.fr/categorie/traitement-hypnose/565>                                                                                    | <http://www.w3.org/2006/vcard/ns#Name>            |
| <http://hypnose-ericksonienne.fr/categorie/traitement-hypnose/565>                                                                                    | <http://www.w3.org/2006/vcard/ns#Location>        |
| <http://www.toplien.fr/boutique-ligne/bijoux/porte-collier-porte-boucles-oreilles-p12553.html>                                                        | <http://www.w3.org/2006/vcard/ns#Location>        |
| <http://www.toplien.fr/boutique-ligne/bijoux/porte-collier-porte-boucles-oreilles-p12553.html>                                                        | <http://www.w3.org/2006/vcard/ns#Name>            |
| <http://www.toplien.fr/boutique-ligne/bijoux/porte-collier-porte-boucles-oreilles-p12553.html>                                                        | <http://www.w3.org/2006/vcard/ns#Address>         |
| <http://www.toplien.fr/boutique-ligne/bijoux/porte-collier-porte-boucles-oreilles-p12553.html>                                                        | <http://www.w3.org/2006/vcard/ns#Organization>    |
| <http://www.toplien.fr/boutique-ligne/bijoux/porte-collier-porte-boucles-oreilles-p12553.html>                                                        | <http://www.w3.org/2006/vcard/ns#VCard>           |
| <http://fr.nomao.com/15434150.html>                                                                                                                   | <http://www.w3.org/2006/vcard/ns#Address>         |
| <http://fr.nomao.com/362380.html>                                                                                                                     | <http://www.w3.org/2006/vcard/ns#Address>         |
| <http://www.labelsandlabeling.com/suppliers/a?tid_op=or&tid=113&title_1=&field_country_value=or&country=All&keys=>                                    | <http://www.w3.org/2006/vcard/ns#Organization>    |
| <http://www.labelsandlabeling.com/suppliers/a?tid_op=or&tid=113&title_1=&field_country_value=or&country=All&keys=>                                    | <http://www.w3.org/2006/vcard/ns#Address>         |
| <http://www.labelsandlabeling.com/suppliers/a?tid_op=or&tid=113&title_1=&field_country_value=or&country=All&keys=>                                    | <http://www.w3.org/2006/vcard/ns#Name>            |
| <http://www.labelsandlabeling.com/suppliers/a?tid_op=or&tid=113&title_1=&field_country_value=or&country=All&keys=>                                    | <http://www.w3.org/2006/vcard/ns#VCard>           |
| <http://www.slideshare.net/yannickprie>                                                                                                               | <http://www.w3.org/2006/vcard/ns#VCard>           |
| <http://www.slideshare.net/yannickprie>                                                                                                               | <http://schema.org/PostalAddress>                 |
| <http://www.slideshare.net/yannickprie>                                                                                                               | <http://www.w3.org/2006/vcard/ns#Address>         |
| <http://www.slideshare.net/yannickprie>                                                                                                               | <http://schema.org/Organization>                  |
| <http://www.slideshare.net/yannickprie>                                                                                                               | <http://www.w3.org/2006/vcard/ns#Name>            |
| <http://www.slideshare.net/manuelpinardmedialibs>                                                                                                     | <http://www.w3.org/2006/vcard/ns#Name>            |
| <http://www.slideshare.net/manuelpinardmedialibs>                                                                                                     | <http://schema.org/PostalAddress>                 |
| <http://www.slideshare.net/manuelpinardmedialibs>                                                                                                     | <http://schema.org/Person>                        |
| <http://www.slideshare.net/manuelpinardmedialibs>                                                                                                     | <http://www.w3.org/2006/vcard/ns#VCard>           |
| <http://www.slideshare.net/manuelpinardmedialibs>                                                                                                     | <http://www.w3.org/2006/vcard/ns#Address>         |
| <http://fr.nomao.com/63930948.html>                                                                                                                   | <http://schema.org/ListItem>                      |
| <http://fr.nomao.com/63930948.html>                                                                                                                   | <http://schema.org/MedicalOrganization>           |
| <http://fr.nomao.com/63930948.html>                                                                                                                   | <http://schema.org/BreadcrumbList>                |
| <http://fr.nomao.com/63930948.html>                                                                                                                   | <http://schema.org/PostalAddress>                 |
| <http://fr.nomao.com/63930948.html>                                                                                                                   | <http://www.w3.org/2006/vcard/ns#Address>         |
| <http://fr.nomao.com/362258.html>                                                                                                                     | <http://www.w3.org/2006/vcard/ns#Address>         |
| <http://fr.nomao.com/15239579.html>                                                                                                                   | <http://schema.org/BreadcrumbList>                |
| <http://fr.nomao.com/15239579.html>                                                                                                                   | <http://schema.org/PostalAddress>                 |
| <http://fr.nomao.com/15239579.html>                                                                                                                   | <http://schema.org/ListItem>                      |
| <http://fr.nomao.com/15239579.html>                                                                                                                   | <http://www.w3.org/2006/vcard/ns#Address>         |
| <http://fr.nomao.com/15239579.html>                                                                                                                   | <http://schema.org/Restaurant>                    |
| <http://www.euronews.com/weather/europe/france/nantes/>                                                                                               | <http://www.w3.org/2002/12/cal/icaltzd#vcalendar> |
| <http://www.euronews.com/weather/europe/france/nantes/>                                                                                               | <http://www.w3.org/2006/vcard/ns#Location>        |
| <http://www.euronews.com/weather/europe/france/nantes/>                                                                                               | <http://www.w3.org/2002/12/cal/icaltzd#Vevent>    |
| <http://www.euronews.com/weather/europe/france/nantes/>                                                                                               | <http://www.w3.org/2006/vcard/ns#Address>         |
