-----------------------------------------------------------------------------------------------------------------------------------------------------------------
| g                                                                                                                                                     | count |
| <http://www.touristlink.com/france/park-suites-st-nazaire-eleganc/overview.html>                                                                      | 115   |
| <http://terraform.fr/actualites/>                                                                                                                     | 13    |
| <http://www.touristlink.com/france/cat/cities.html?page=20&limit=10>                                                                                  | 268   |
| <https://simple.wikipedia.org/wiki/%C3%89cole_pour_l%27informatique_et_les_nouvelles_technologies>                                                    | 16    |
| <http://hypnose-ericksonienne.fr/categorie/hypnose-therapeutique/529>                                                                                 | 158   |
| <http://www.wik-nantes.fr/nantes/1/scene/bionic-orchestra-20>                                                                                         | 8     |
| <https://www.flickr.com/people/lastien/>                                                                                                              | 19    |
| <http://www.acappella-online.de/en/tracker/full?page=32>                                                                                              | 521   |
| <http://fr.nomao.com/4496083.html>                                                                                                                    | 5     |
| <http://fr.nomao.com/15433376.html>                                                                                                                   | 5     |
| <http://therapeutes.eu/annuaire-hypnotherapeute/Dr-Julien-Betbeze-Pedo-Psychiatre-Psychotherapeute-Formateur-Hypnose-Ericksonienne-EMDR-HTSMA-Nantes> | 18    |
| <http://www.slideshare.net/nmddb>                                                                                                                     | 13    |
| <http://www.fabert.com/etablissement-prive/6568/LYCEE-POLYVALENT-PRIVE-SAINTE-ANNE.html>                                                              | 24    |
| <http://www.ticketnetwork.com/venues/zenith-nantes-tickets.aspx?vid=8767>                                                                             | 202   |
| <http://www.slideshare.net/AnneC>                                                                                                                     | 2     |
| <http://www.slideshare.net/Leecone>                                                                                                                   | 11    |
| <http://www.orange-business.com/en/where-we-are>                                                                                                      | 860   |
| <http://fr.nomao.com/859845.html>                                                                                                                     | 5     |
| <http://www.touristlink.com/europe/cat/it-and-industrial-parks.html>                                                                                  | 270   |
| <http://www.scconline.org/referrals/cat/consultants/>                                                                                                 | 849   |
| <http://hypnose-ericksonienne.fr/categorie-0>                                                                                                         | 54    |
| <http://fr.nomao.com/2201264.html>                                                                                                                    | 39    |
| <http://www.toplien.fr/boutique-ligne/vetement/vintage/paradis-mode-vintage-disco-annees-1960-1970-1980-d5085.html>                                   | 14    |
| <http://www.easytobook.com/en/france/loire-atlantique/nantes/best-western-hotel-de-la-regate-52337/?amu=280822278>                                    | 41    |
| <http://terraform.fr/2013/09/la-folie-des-plantes-2013/>                                                                                              | 13    |
| <https://www.annuairetel247.com/auneau-michel-saint-sebastien-sur-loire-rue-douet>                                                                    | 5     |
| <http://www.radio-spektrum.fr/>                                                                                                                       | 563   |
| <http://www.cnap.fr/festival-croisements-numeriques-2013>                                                                                             | 9     |
| <https://www.annuairetel247.com/perrin-ludovic-missillac-ste-marie>                                                                                   | 14    |
| <http://undergrad.admissions.columbia.edu/visit/international>                                                                                        | 344   |
| <http://www.easytobook.com/en/france/loire-atlantique/nantes/appart-city-cap-affaires-le-sanitat-62372/?amu=280822597&currency=CLP>                   | 41    |
| <http://www.touristlink.com/france/saint-herblain/overview.html>                                                                                      | 6     |
| <http://lefooding.com/fr/restaurants/restaurant-les-bouteilles-nantes>                                                                                | 19    |
| <http://www.sportcom.fr/materiel-de-competition>                                                                                                      | 29    |
| <https://www.pitchup.com/campsites/france/pays-de-la-loire/loire-atlantique/saint-gildas-des-bois/camping-de-langatre/?type=10>                       | 9     |
| <http://www.ticketnetwork.com/tickets/paris-saint-germain-fc-tickets.aspx?pid=47479>                                                                  | 261   |
| <http://www.touristlink.com/france/pays-de-la-loire/cat/resorts.html>                                                                                 | 125   |
| <http://fr.nomao.com/1387748.html>                                                                                                                    | 44    |
| <http://fr.nomao.com/10603726.html>                                                                                                                   | 33    |
| <http://hypnose-ericksonienne.fr/categorie/hypnose-integrative/583>                                                                                   | 83    |
| <http://www.last.fm/label/Umvd+Import/events/2003>                                                                                                    | 1221  |
| <https://www.pitchup.com/campsites/france/pays-de-la-loire/loire-atlantique/pornic/camping-le-patisseau/?q=&type=4>                                   | 9     |
| <http://fr.nomao.com/2155033.html>                                                                                                                    | 37    |
| <http://fr.nomao.com/183452.html>                                                                                                                     | 5     |
| <http://hypnose-ericksonienne.fr/categorie/psychotherapie/407>                                                                                        | 97    |
| <https://www.elance.com/s/dmanchev/job-history/10183/>                                                                                                | 13    |
| <http://www.slideshare.net/arthurlutz>                                                                                                                | 23    |
| <http://www.ticketnetwork.com/local/france/la/saint-herblain-tickets.aspx>                                                                            | 181   |
| <http://www.slideshare.net/AnglineLESTRAT>                                                                                                            | 21    |
| <http://www.sportcom.fr/sports-de-combat/taekwondo>                                                                                                   | 29    |
| <http://www.touristlink.com/france/de-la-cite/overview.html>                                                                                          | 100   |
| <https://simple.wikipedia.org/wiki/Nantes>                                                                                                            | 13    |
| <http://www.touristlink.com/france/saint-nazaire/cat/hotels.html>                                                                                     | 77    |
| <https://www.pitchup.com/campsites/france/pays-de-la-loire/loire-atlantique/guerande/camping-de-letang-du-pays-blanc/?type=13>                        | 9     |
| <http://fr.nomao.com/64015486.html>                                                                                                                   | 5     |
| <http://fr.nomao.com/4494771.html>                                                                                                                    | 5     |
| <http://therapeutes.eu/categorie/dr-julien-betbeze/1430>                                                                                              | 18    |
-----------------------------------------------------------------------------------------------------------------------------------------------------------------
