-------------------------------------------------------------------------------------------------------------------------------------------------------
| g                                                                                                                  | country                | count |
| <http://www.orange-business.com/ru-en/contacts>                                                                    | "Slovakia"             | 1     |
| <http://www.labelsandlabeling.com/suppliers>                                                                       | "Singapore"            | 1     |
| <http://www.orange-business.com/en/where-we-are>                                                                   | "Denmark"              | 1     |
| <http://www.orange-business.com/en/where-we-are>                                                                   | "China"                | 2     |
| <http://www.sugartech.co.za/factories/list.php>                                                                    | "Guatemala"            | 1     |
| <http://www.orange-business.com/en/where-we-are>                                                                   | "Romania"              | 1     |
| <http://www.sugartech.co.za/factories/list.php>                                                                    | "Sweden"               | 3     |
| <http://www.erickson-foundation.org/institutes/>                                                                   | "Switzerland"          | 1     |
| <http://www.sugartech.co.za/factories/list.php>                                                                    | "Pakistan"             | 8     |
| <http://www.orange-business.com/fr/where-we-are>                                                                   | "Norvège"              | 1     |
| <http://www.sugartech.co.za/factories/list.php>                                                                    | "Switzerland"          | 2     |
| <http://www.touristlink.com/europe/cat/local-interests.html>                                                       | "Poland"               | 5     |
| <http://www.larevuedudigital.com/evenements/2015-09-16/?doing_wp_cron=1474328403.2353589534759521484375>           | "Germany"              | 1     |
| <http://www.touristlink.com/europe/cat/local-interests.html>                                                       | "Latvia"               | 1     |
| <http://www.orange-business.com/ru-en/contacts>                                                                    | "United Kingdom"       | 1     |
| <http://www.orange-business.com/fr/where-we-are>                                                                   | "Maurice"              | 1     |
| <http://www.setlist.fm/setlists/brit-floyd-73dffaa9.html>                                                          | "England"              | 1     |
| <http://www.sugartech.co.za/factories/list.php>                                                                    | "Guyana"               | 6     |
| <http://www.sugartech.co.za/factories/list.php>                                                                    | "South Africa"         | 14    |
| <http://www.setlist.fm/setlists/while-she-sleeps-13d571e9.html>                                                    | "Belgium"              | 1     |
| <http://www.sugartech.co.za/factories/list.php>                                                                    | "Netherlands"          | 2     |
| <http://www.sugartech.co.za/factories/list.php>                                                                    | "Germany"              | 23    |
| <http://www.sugartech.co.za/factories/list.php>                                                                    | "Belarus"              | 1     |
| <http://www.orange-business.com/ru-en/contacts>                                                                    | "Chile"                | 1     |
| <http://www.orange-business.com/en/where-we-are>                                                                   | "Mexico"               | 1     |
| <http://www.orange-business.com/fr/where-we-are>                                                                   | "Malte"                | 1     |
