-----------------------------------------------------------------------------
| p                                                                 | count |
| <http://schema.org/Museum/image>                                  | 1     |
| <http://schema.org/LodgingBusiness/aggregateRating>               | 4     |
| <http://schema.org/MedicalOrganization/name>                      | 8     |
| <http://www.w3.org/2002/12/cal/icaltzd#description>               | 296   |
| <http://schema.org/LandmarksOrHistoricalBuildings/additionalType> | 3     |
| <http://www.w3.org/2006/vcard/ns#locality>                        | 1791  |
| <http://schema.org/Airport/photos>                                | 1     |
| <http://schema.org/TrainStation/image>                            | 2     |
| <http://purl.org/stuff/rev#hasReview>                             | 83    |
| <http://schema.org/Person/telephone>                              | 1     |
| <http://schema.org/Organization/name>                             | 4     |
| <http://schema.org/Hotel/description>                             | 1     |
| <http://schema.org/AutomotiveBusiness/address>                    | 3     |
| <http://schema.org/StadiumOrArena/additionalType>                 | 2     |
| <http://schema.org/Person/jobTitle>                               | 5     |
| <http://schema.org/StadiumOrArena/url>                            | 2     |
| <http://schema.org/Article/name>                                  | 6     |
| <http://schema.org/State/address>                                 | 1     |
| <http://schema.org/State/geo>                                     | 1     |
| <http://ogp.me/ns#site_name>                                      | 6     |
| <http://schema.org/LandmarksOrHistoricalBuildings/name>           | 1     |
| <http://schema.org/CivicStructure/image>                          | 1     |
| <http://schema.org/LocalBusiness/latitude>                        | 4     |
| <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                 | 8730  |
| <http://schema.org/Organization/telephone>                        | 2     |
| <http://schema.org/CivicStructure/additionalType>                 | 2     |
| <http://ogp.me/ns#type>                                           | 6     |
| <http://www.w3.org/2006/vcard/ns#tel>                             | 1087  |
| <http://opengraphprotocol.org/schema/type>                        | 15    |
| foaf:account                                                      | 1     |
| <http://schema.org/State/photos>                                  | 1     |
| <http://schema.org/LocalBusiness/image>                           | 1     |
| <http://schema.org/LocalBusiness/telephone>                       | 17    |
| <http://schema.org/Article/articleBody>                           | 6     |
| <http://www.w3.org/2006/vcard/ns#category>                        | 4     |
| <http://www.w3.org/2002/12/cal/icaltzd#dtend>                     | 42    |
| <http://schema.org/City/image>                                    | 111   |
| <http://schema.org/Store/address>                                 | 8     |
| <http://schema.org/Product/name>                                  | 10    |
| <http://schema.org/LocalBusiness/logo>                            | 25    |
| <http://schema.org/telephone>                                     | 1     |
| <http://schema.org/LocalBusiness/longitude>                       | 4     |
| <http://schema.org/ProfessionalService/address>                   | 1     |
| <http://www.w3.org/2006/vcard/ns#url>                             | 600   |
| <http://ogp.me/ns#description>                                    | 9     |
| <http://www.w3.org/2002/12/cal/icaltzd#status>                    | 1     |
| <http://schema.org/CafeOrCoffeeShop/logo>                         | 1     |
| <http://ogp.me/ns#title>                                          | 8     |
| <http://schema.org/FinancialService/logo>                         | 1     |
| <http://schema.org/Restaurant/servesCuisine>                      | 1     |
| <http://www.w3.org/2006/vcard/ns#nickname>                        | 26    |
| <http://schema.org/LandmarksOrHistoricalBuildings/geo>            | 1     |
| <http://schema.org/TrainStation/additionalType>                   | 4     |
| <http://schema.org/name>                                          | 3     |
| <http://schema.org/FinancialService/address>                      | 1     |
| <http://schema.org/City/geo>                                      | 25    |
| <http://schema.org/startDate>                                     | 1     |
| <http://schema.org/LodgingBusiness/priceRange>                    | 2     |
| <http://schema.org/location>                                      | 1     |
| <http://schema.org/LocalBusiness/postalCode>                      | 4     |
| <http://schema.org/SubwayStation/additionalType>                  | 6     |
| <http://schema.org/Event/name>                                    | 16    |
| <http://schema.org/Continent/description>                         | 1     |
| <http://schema.org/City/description>                              | 4     |
| <http://schema.org/PostalAddress/addressCountry>                  | 192   |
| <http://purl.org/stuff/rev#text>                                  | 40    |
| <http://schema.org/EducationalOrganization/url>                   | 2     |
| <http://schema.org/CivicStructure/geo>                            | 1     |
| <http://schema.org/City/url>                                      | 47    |
| <http://schema.org/SubwayStation/address>                         | 3     |
| <http://schema.org/LandmarksOrHistoricalBuildings/description>    | 1     |
| <http://schema.org/Hotel/photos>                                  | 1     |
| <http://opengraphprotocol.org/schema/title>                       | 16    |
| <http://schema.org/City/name>                                     | 26    |
| <http://schema.org/FinancialService/aggregateRating>              | 1     |
| <http://schema.org/State/url>                                     | 1     |
| <http://www.w3.org/2006/vcard/ns#country-name>                    | 1668  |
| <http://schema.org/City/photo>                                    | 4     |
| <http://www.w3.org/2006/vcard/ns#region>                          | 651   |
| <http://schema.org/Airport/address>                               | 21    |
| <http://schema.org/TouristAttraction/geo>                         | 4     |
| <http://schema.org/MedicalOrganization/address>                   | 8     |
| <http://schema.org/Museum/name>                                   | 1     |
| <http://schema.org/LodgingBusiness/name>                          | 4     |
| <http://schema.org/Store/name>                                    | 8     |
| <http://schema.org/Restaurant/logo>                               | 5     |
| <http://schema.org/address>                                       | 2     |
| <http://schema.org/Airport/geo>                                   | 21    |
| <http://schema.org/EducationalOrganization/address>               | 2     |
| <http://www.w3.org/2006/vcard/ns#workTel>                         | 23    |
| <http://schema.org/CafeOrCoffeeShop/address>                      | 1     |
| <http://www.w3.org/2002/12/cal/icaltzd#component>                 | 494   |
| <http://schema.org/ProfessionalService/url>                       | 1     |
| <http://rdfs.org/sioc/ns#num_replies>                             | 3     |
| <http://schema.org/Landform/photo>                                | 3     |
| <http://data-vocabulary.org/Breadcrumb/url>                       | 193   |
| <http://schema.org/SubwayStation/name>                            | 3     |
| <http://www.w3.org/2002/12/cal/icaltzd#location>                  | 484   |
| <http://schema.org/ImageObject/author>                            | 9     |
| <http://schema.org/Article/inLanguage>                            | 6     |
| <http://schema.org/State/photo>                                   | 1     |
| <http://www.w3.org/2006/vcard/ns#geo>                             | 558   |
| <http://schema.org/Hotel/address>                                 | 13    |
| <http://schema.org/Museum/url>                                    | 2     |
| <http://data-vocabulary.org/Breadcrumb/URL>                       | 60    |
-----------------------------------------------------------------------------
