g,country,count
http://undergrad.admissions.columbia.edu/visit/international,"Hong Kong S.A.R., China",1
http://www.ticketnetwork.com/tickets/disney-on-ice-tickets.aspx,Canada,5
http://www.labelsandlabeling.com/suppliers?companyid=1331,Brazil,1
http://www.tenaris.com/en/ContactUs.aspx,Equatorial Guinea,2
http://www.lectra.com/en/global-network,Viet Nam,3
http://www.tenaris.com/en/ContactUs.aspx,Mozambique,1
http://www.tenaris.com/en/ContactUs.aspx,Egypt,2
http://www.last.fm/label/Umvd+Import/events/2003,Denmark,1
http://www.lectra.com/en/global-network,Philippines,3
http://www.tourmapr.com/artist/Taake,US,1
http://www.invista.com/en/inside-invista/global-locations-map.html,Colombia,1
http://www.gaydavineyards.com/en/where-to-buy-our-wines,Estonia,1
http://www.orange-business.com/en/where-we-are,Czech Republic,1
https://www.scantool.net/scantool/distributors/,Australia,1
http://www.crestron.eu/?q=en/i2p-partner/integrierte-partner-programm,Switzerland,1
http://www.tenaris.com/en/ContactUs.aspx,Venezuela,3
http://www.orange-business.com/en/where-we-are,New Zealand,2
http://www.lectra.com/en/global-network?p_contactval=customers,United Kingdom,1
https://www.scantool.net/scantool/distributors/,Canada,2
http://www.labelsandlabeling.com/suppliers,Germany,2
http://www.lectra.com/en/global-network?p_contactval=customers,"Taiwan, Province of China",1
http://www.televes.es/cat/empresa/redcomercial/filial-internacional,United Kingdom,1
http://www.labelsandlabeling.com/suppliers,United States,4
http://www.lectra.com/en/global-network?p_contactval=customers,Slovakia,1
http://www.tenaris.com/en/ContactUs.aspx,United Kingdom,2
http://www.orange-business.com/en/where-we-are,Lithuania,1
http://www.crestron.eu/?q=ru/i2p-partner/integrierte-partner-programm,Belgium,5
http://www.genuineguidegear.com/dealers,United Kingdom,1
http://www.lectra.com/en/global-network,Argentina,3
http://www.ticketnetwork.com/ticket/disney-events.aspx?page=2,Canada,3
http://www.lectra.com/en/global-network,Sri Lanka,3
https://www.scantool.net/scantool/distributors/,Hong Kong,1
http://undergrad.admissions.columbia.edu/visit/international,China,2
http://www.marcospecialties.com/ordering-policies/international-ordering/?yr=2012&month=3&dy=,USA,4
http://www.ticketnetwork.com/tickets/macklemore-tickets.aspx?page=2,Netherlands,1
http://www.ticketnetwork.com/tickets/macklemore-tickets.aspx?page=2,Germany,1
http://www.orange-business.com/en/where-we-are,United Arab Emirates,1
http://www.orange-business.com/en/where-we-are,Ivory Coast,1
http://undergrad.admissions.columbia.edu/visit/international,New Zealand,2
http://www.acappella-online.de/en/tracker/full?page=32,Denmark,1
http://www.lectra.com/en/global-network,Finland,3
http://www.crestron.eu/?q=ru/i2p-partner/integrierte-partner-programm,Sweden,1
http://www.lectra.com/en/global-network?p_contactval=customers,Indonesia,1
http://www.tenaris.com/en/ContactUs.aspx,Indonesia,4
http://www.orange-business.com/en/where-we-are,China,2
http://www.labelsandlabeling.com/suppliers?companyid=1331,Australia,1
http://www.lectra.com/en/global-network,Mexico,3
http://www.tenaris.com/en/ContactUs.aspx,Algeria,1
http://www.last.fm/label/Umvd+Import/events/2003,Poland,3
http://www.ticketnetwork.com/ticket/world-events.aspx?page=2,United Kingdom,2
http://undergrad.admissions.columbia.edu/visit/international,Argentina,1
http://www.tenaris.com/en/ContactUs.aspx,Russia,1
http://www.genuineguidegear.com/dealers,Russia,1
http://www.orange-business.com/en/where-we-are,Mexico,1
http://www.crestron.eu/?q=ru/i2p-partner/integrierte-partner-programm,United States,2
http://www.lectra.com/en/global-network,China,9
http://www.tenaris.com/en/ContactUs.aspx,Italy,9
http://www.lectra.com/en/global-network?p_contactval=customers,Israel,2
http://www.televes.es/cat/empresa/redcomercial/filial-internacional,Italy,1
http://www.crestron.eu/?q=ru/i2p-partner/integrierte-partner-programm,Germany,11
http://www.crestron.eu/?q=ru/i2p-partner/integrierte-partner-programm,Netherlands,4
http://www.lectra.com/en/global-network?p_contactval=customers,Italy,1
http://www.orange-business.com/en/where-we-are,Finland,1
